timestamp | workflow | anomaly | cost($) | status
2025-10-28 16:05:46 | order_processing | workflow_delay | $0.0980 | partial
2025-10-28 16:06:02 | invoice_processing | workflow_delay | $0.0929 | partial
2025-10-28 16:06:05 | order_processing | workflow_delay | $0.0909 | partial
2025-10-28 16:06:17 | customer_support | workflow_delay | $0.0939 | partial
2025-10-28 16:06:17 | invoice_processing | workflow_delay | $0.0954 | partial
2025-10-28 16:06:18 | customer_support | workflow_delay | $0.0943 | partial
2025-10-28 16:06:18 | order_processing | workflow_delay | $0.0934 | partial
2025-10-28 16:10:56 | invoice_processing | Queue pressure detected: Support tickets not being resolved on time. | $0.0879 | partial
2025-10-28 16:14:09 | invoice_processing | Queue pressure detected in support ticket system. Ticket backlog increasing. | $0.0974 | partial
2025-10-28 16:28:49 | customer_support | queue_pressure | $0.0878 | partial
2025-10-28 16:29:18 | inventory_tracking | queue_pressure | $0.0876 | partial
2025-10-28 16:29:18 | invoice_processing | queue_pressure | $0.0935 | partial
2025-10-28 16:32:29 | order_processing | queue_pressure | $0.0957 | partial
2025-10-28 16:32:29 | inventory_tracking | queue_pressure | $0.0943 | partial
2025-10-28 16:32:29 | customer_support | api_failure | $0.0980 | partial
2025-10-28 16:32:29 | customer_support | workflow_delay | $0.0945 | partial
2025-10-28 16:32:29 | invoice_processing | workflow_delay | $0.0962 | partial
2025-10-28 16:32:41 | order_processing | data_error | $0.0940 | partial
2025-10-28 16:33:01 | order_processing | data_error | $0.0887 | partial
2025-10-28 16:33:16 | customer_support | api_failure | $0.0909 | partial
2025-10-28 16:33:36 | inventory_tracking | workflow_delay | $0.0936 | partial
2025-10-28 16:33:51 | inventory_tracking | workflow_delay | $0.0904 | partial
2025-10-28 16:34:11 | customer_support | queue_pressure | $0.0961 | partial
2025-10-28 16:34:24 | customer_support | workflow_delay | $0.0921 | partial
2025-10-28 16:34:41 | invoice_processing | workflow_delay | $0.0934 | partial
2025-10-28 16:34:57 | inventory_tracking | data_error | $0.0977 | partial
2025-10-28 16:35:16 | invoice_processing | data_error | $0.0904 | partial
2025-10-28 16:35:32 | invoice_processing | api_failure | $0.0944 | partial
2025-10-28 16:35:52 | customer_support | workflow_delay | $0.0903 | partial
2025-10-28 16:36:12 | order_processing | api_failure | $0.0932 | partial
2025-10-28 16:36:48 | invoice_processing | data_error | $0.0977 | partial
2025-10-28 16:37:48 | customer_support | api_failure | $0.0979 | partial
2025-10-28 16:38:20 | invoice_processing | workflow_delay | $0.0981 | partial
2025-10-28 16:38:36 | inventory_tracking | data_error | $0.0990 | partial
2025-10-28 16:38:51 | order_processing | data_error | $0.0903 | partial
2025-10-28 16:39:11 | order_processing | data_error | $0.0969 | partial
2025-10-28 16:39:27 | order_processing | api_failure | $0.0943 | partial
2025-10-28 16:39:42 | order_processing | data_error | $0.0939 | partial
